frequency,monetary,recency
1,129.9,115
1,22.99,18
1,89.49,363
1,164.9,26
1,65.0,314
1,329.9,448
1,110.32,81
1,28.99,33
1,329.9,132
1,21.99,187
1,18.99,516
1,45.0,145
2,188.0,293
1,45.33,362
2,79.89,108
1,12.25,259
1,100.0,128
1,84.0,197
1,30.99,36
1,17.99,530
1,69.99,66
1,29.9,8
1,80.0,416
1,439.0,264
1,45.0,384
1,179.9,60
1,87.99,588
1,1312.0,85
1,199.0,60
1,159.9,133
1,29.0,538
1,59.9,430
1,89.9,422
1,249.0,523
1,79.99,237
1,82.99,38
1,24.9,525
1,20.4,148
1,54.9,350
1,168.9,159
1,49.0,529
1,128.89,185
1,49.99,502
1,20.0,85
3,376.9,121
2,99.8,120
1,149.9,317
1,139.0,524
1,119.9,264
1,98.69,27
1,89.18,487
1,189.9,209
1,128.0,417
1,39.9,273
1,37.5,383
1,29.99,462
1,59.0,25
1,31.99,110
1,79.9,106
1,29.0,106
1,260.0,112
1,359.99,289
1,499.9,280
1,26.9,523
1,150.0,111
1,89.9,341
1,13.65,189
1,530.0,162
1,117.48,327
1,49.7,437
1,27.9,130
1,59.99,583
2,91.8,402
1,50.4,230
1,39.6,29
1,899.0,514
1,169.0,219
1,499.9,335
1,289.0,35
1,105.99,64
1,27.9,91
1,44.9,118
1,109.9,405
2,121.97,167
1,47.9,208
1,229.0,49
2,304.9,55
1,120.0,67
1,29.9,204
1,99.9,55
1,45.9,111
1,34.9,271
1,293.0,262
1,29.99,48
1,28.14,190
1,151.2,361
1,109.9,496
1,86.6,101
1,29.9,313
1,40.0,437
1,229.99,33
1,19.49,28
1,524.9,109
1,390.0,442
1,349.0,488
1,139.9,70
1,20.0,282
1,299.0,165
1,176.99,475
1,139.99,518
1,99.99,350
1,129.5,89
1,45.97,221
1,15.0,171
1,129.9,33
1,48.9,13
1,25.9,208
1,134.49,72
1,55.0,60
1,99.9,79
1,188.0,282
1,289.9,524
1,26.7,455
1,139.9,472
1,58.0,133
1,39.5,209
1,21.73,503
1,199.9,318
1,46.0,161
1,29.99,318
1,77.7,249
1,44.4,15
1,59.9,335
1,1105.0,236
1,41.3,189
1,119.9,161
1,106.9,132
1,74.5,40
1,16.9,535
1,139.9,473
1,48.0,539
1,149.99,198
1,89.0,218
1,89.0,475
1,104.99,420
1,24.89,159
1,38.5,583
1,125.5,274
1,25.9,401
1,268.0,261
1,41.79,36
1,26.18,86
1,190.83,214
1,45.0,593
1,69.99,229
1,233.0,278
1,169.0,72
1,1672.0,463
1,34.99,87
2,109.98,443
1,39.9,141
1,78.0,197
1,155.0,274
1,235.9,346
1,54.99,39
1,39.9,44
1,39.0,47
1,29.0,289
1,59.9,449
1,84.99,237
1,35.0,306
1,59.9,308
1,249.99,432
1,299.99,130
1,79.0,186
1,69.9,48
1,64.9,516
1,166.99,290
1,25.99,313
